Name1,Name2,Check,
Devidhan Besra,Shri Devidhan Besra,TRUE,Maheshwar Hazari
Mahabali Singh,Shri Mahabali Singh,TRUE,Mahabali Singh
,Shri H.D. Kumaraswamy,TRUE,Resigned from Lok Sabha. Will need to put him as a new entry
Murarilal Singh,Shri Murarilal Singh,TRUE,
Malik Sakti Mohan,Shri Sakti Mohan Malik,TRUE,
Manohar Tirkey,Shri Manohar Tirkey,TRUE,Manohar Tirkey
Ramakant Yadav,Shri Ramakant Yadav,TRUE,Ramakant Yadav
Mallikarjun Kharge,Shri Mallikarjun Kharge,TRUE,
Kameshwar Baitha,Shri Kameshwar Baitha,TRUE,
Siddhanta Mahapatra,Shri Sidhant Mohapatra,TRUE,
Vijay Bahadur Singh,Shri Vijay Bahadur Singh,TRUE,Anurag Singh Thakur
Sk. Saidul Haque,Prof. Sk. Saidul Haque,TRUE,
D Napoleon,Shri D. Napoleon,FALSE,
Sarvey Sathyanarayana,Shri Sathyanarayana Sarvey,FALSE,
Kotla Jayasurya Prakasha Reddy,Shri Kotla Jaya Surya Prakash Reddy,FALSE,
Nama Nageswara Rao,Shri Nama Nageswara Rao,FALSE,
Rudramadhab Ray,Shri Rudra Madhab Ray,FALSE,
Rakesh Sachan,Shri Rakesh Sachan,FALSE,
Sajjan Singh Verma,Shri Sajjan Singh Verma,FALSE,
Manish Tewari,Shri Manish Tewari,FALSE,
Sushilkumar Sambhajirao Shinde,Shri Sushil Kumar Sambhajirao Shinde,FALSE
Yashvir Singh,Shri Yashvir Singh,FALSE
Deepa Dasmunsi,Smt. Deepa Dasmunsi,FALSE
N. Peethambarakurup,Shri N. Peethambara Kurup,FALSE
Meenakshi Natrajan,Km. Meenakshi Natrajan,FALSE
Sai Prathap Annayyagari,Shri Sai Prathap Annayyagari,FALSE
Vincent H Pala,Shri Vincent H Pala,FALSE
A Sampath,Shri Anirudhan Sampath,FALSE
Kailash Joshi,Shri Kailash Joshi,FALSE
Mangani Lal Mandal,Shri Mangani Lal Mandal,FALSE
Yashwant Sinha,Shri Yashwant Sinha,FALSE
Putul Kumari,Smt.  Putul Kumari,FALSE
Girija Vyas,Dr.(Kum.) Girija Vyas,FALSE
Arvind Kumar Sharma,Dr. Arvind Kumar Sharma,FALSE
Suresh Kashinath Taware,Shri Suresh Kashinath Taware,FALSE
Om Prakash Yadav,Shri Om Prakash Yadav,FALSE
Hari Manjhi,Shri Hari Manjhi,FALSE
Suvendu Adhikari,Shri Suvendu Adhikari,FALSE
P. C. Mohan,Shri P. C. Mohan,FALSE
Nityananda Pradhan,Shri Nityananda Pradhan,FALSE
Mohammed Azharuddin,Shri Mohammed Azharuddin,FALSE
Basori Singh Masram,Shri Basori Singh Masram,FALSE
Bharat Ram Meghwal,Shri Bharat Ram Meghwal,FALSE
Sadashivrao Dadoba Mandlik,Shri Sadashivrao Dadoba Mandlik,FALSE
R. K. Singh Patel,Shri R.K. Singh Patel,FALSE
Ahir Vikrambhai Arjanbhai Madam,Shri Vikrambhai Arjanbhai Maadam,FALSE
Modugula Venugopala Reddy,Shri Modugula Venugopala Reddy,FALSE
Rajagopal Lagadapati,Shri Rajagopal Lagadapati,FALSE
Naveen Jindal,Shri Naveen Jindal,FALSE
Poonamben Veljibhai Jat,Smt. Poonam Veljibhai Jat,FALSE
Takam Sanjoy,Shri  Takam Sanjoy,FALSE
Jyoti Dhurve,Smt. Jyoti Dhurve,FALSE
Ratan Singh,Shri Ratan Singh,FALSE
Shivaramagouda Shivanagouda,Shri  Shivaramagouda,FALSE
Anto Antony Punnathaniyil,Shri Anto Antony,FALSE
O. S. Manian,Shri O. S. Manian,FALSE
M. Thambidurai,Dr. Munisamy Thambidurai,FALSE
Seema Upadhyay,Smt. Seema Upadhyay,FALSE
Adhir Ranjan Chowdhury,Shri Adhir Ranjan Chowdhury,FALSE
Vilasrao Baburaoji Muttemwar,Shri Vilas Baburao Muttemwar,FALSE
Salman Khursheed,Shri Salman Khurshid,FALSE
Partap Singh Bajwa,Sardar Partap Singh Bajwa,FALSE
G. Vivekanand,Dr. Gaddam Vivekanand,FALSE
Meghe Datta,Shri Datta Raghobaji Meghe,FALSE
Sharifuddin Shariq,Shri Sharifuddin Shariq,FALSE
Dilipkumar Mansukhlal Gandhi,Shri Dilip Kumar Mansukhlal Gandhi,FALSE
K. C Venugopal,Shri K. C. Venugopal,FALSE
M. I. Shanavas,Shri M. I. Shanavas,FALSE
Sharad Yadav,Shri Sharad Yadav,FALSE
Prataprao Ganpatrao Jadhav,Shri Prataprao Ganpatrao Jadhav,FALSE
Kunwar Jitin Prasad,Shri Jitin Prasada,FALSE
Anup Kumar Saha,Dr. Anup Kumar Saha,FALSE
Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Shri Rajendrasinh (Raju Rana) Rana,FALSE
Vijaya Shanthi M,Smt. M. Vijaya Shanthi,FALSE
Ravindra Kumar Pandey,Shri Ravindra Kumar Pandey,FALSE
Maharani Preneet Kaur,Smt. Preneet Kaur,FALSE
G.M. Siddeswara,Shri Gowdar Mallikarjunappa Siddeshwara,FALSE
Vinay Kumar,"Dr. Vinay Kumar ""Vinnu"" Pandey",FALSE
Ananthkumar Hegde,Shri Anant Kumar Dattatreya Hegde,FALSE
Katti Ramesh Vishwanath,Shri Ramesh Vishwanath Katti,FALSE
Ratna De (Nag),Dr. (Smt.) Ratna De(Nag),FALSE
Adhalrao Shivaji Dattatray,Shri Shivaji Adhalrao Patil,FALSE
Kamlesh Balmiki,Shri Kamlesh Balmiki,FALSE
Somabhai Gandalal Koli Patel,Shri Somabhai Gandalal Koli Patel,FALSE
Navjot Singh Sidhu,Shri Navjot Singh Sidhu,FALSE
Sultan Ahmed,Shri Sultan Ahmed,FALSE
Dara Singh Chauhan,Shri Dara Singh Chauhan,FALSE
Lalubhai Patel,Shri Lalubhai Babubhai Patel,FALSE
M. Krishnasamy,Shri M. Krishnasswamy,FALSE
Baju Ban Riyan,Shri Baju Ban Riyan,FALSE
C. L. Ruala,Shri C. L. Ruala,FALSE
Devji Patel,Shri Devji Mansingram Patel,FALSE
Jitender Singh Malik,Shri Jitender Singh Malik,FALSE
Makhansingh Solanki (Babuji),Shri Makhansingh Solanki,FALSE
Dinsha Patel,Shri Dinsha J. Patel,FALSE
Mithlesh,Shri  Mithlesh Kumar,FALSE
Ashok Argal,Shri Ashok Argal,FALSE
Arjun Charan Sethi,Shri Arjun Charan Sethi,FALSE
Bharatsinh Solanki,Shri Bharatsinh Madhavsinh Solanki,FALSE
Killi Krupa Rani,Dr. (Smt.) Kruparani Killi,FALSE
Yashodhara Raje Scindia,Smt. Yashodhara Raje Scindia,FALSE,
Ramesh Rathod,Shri Ramesh Rathod,FALSE,
Prem Das Rai,Shri Prem Das Rai,FALSE,
Baijayant Panda,Baijayant Panda,,
Ajay Makan,Ajay Makan,,
,Shri Ajay Maken,FALSE,Both are there in the politicians file. Different constit
Praveen Singh Aron,Shri Praveen Singh. Aron,FALSE,
Pratap Narayanrao Sonawane,Shri Sonawane Pratap Narayanrao,FALSE,
Rama Devi,Smt.  Rama Devi,FALSE,
Sohan Potai,Shri Sohan Potai,FALSE,
Satabdi Roy,Smt. Satabdi Roy,FALSE,
Maneka Gandhi,Smt. Maneka Gandhi,FALSE,
Gutha Sukender Reddy,Shri Sukender Reddy Gutha,FALSE,
Jaywant Gangaram Awale,Shri Jayawant Gangaram Awale,FALSE,
Mahendrasinh Chauhan,Dr. Mahendrasinh Pruthvisinh Chauhan,FALSE,
Sushma Swaraj,Smt. Sushma Swaraj,FALSE,
Mahabal Mishra,Shri Mahabal Mishra,FALSE,
K. V. Thomas,Prof. Kuruppassery Varkey Thomas,FALSE,
Virendra Kumar,Dr.  Virendra Kumar,FALSE,
Konakalla Narayana Rao,Shri Konakalla Narayana Rao,FALSE,
M K Alagiri,Shri M. K. Alagiri,FALSE,
Sumitra Mahajan,Smt. Sumitra Mahajan,FALSE,
Abu Hasem Khan Choudhury,Shri Abu Hasem Khan Choudhury,FALSE,
Jyoti Mirdha,Dr. (Smt.) Jyoti Mirdha,FALSE,
Inder Singh Namdhari,Shri Inder Singh Namdhari,FALSE,
Haji Nurul Islam,Shri Sk. Nurul Islam,FALSE,
K. Chandrashekar Rao,Shri Kalva Kuntla Chandrasekhar Rao,FALSE,
Sansuma Khunggur Bwiswmuthiary,Shri Sansuma Khunggur Bwiswmuthiary,FALSE,
Devendra Nagpal,Shri Devendra Nagpal,,
Jyotiraditya Madhavrao Scindia,Shri Jyotiraditya Madhavrao Scindia,FALSE,Both are there in the politicians file. Different constit
Shashi Tharoor,Dr. Shashi Tharoor,FALSE,
Aruna Kumar Vundavalli,Shri Aruna Kumar Vundavalli,FALSE,
Syed Shahnawaz Hussain,Shri Syed Shahnawaz Hussain,FALSE,
Jagada Nand Singh,Shri Jagadanand Singh,FALSE,
Kapil Sibal,Shri Kapil Sibal,FALSE,
Gopinathrao Pandurang Munde,Shri Gopinath Pandurang Munde,FALSE,
Madhu Goud Yaskhi,Shri Madhu Goud Yaskhi,FALSE,
P. C. Chacko,Shri P.C. Chacko,FALSE,
Dinesh Trivedi,Shri Dinesh Trivedi,,
S. P. Y. Reddy,S. P. Y. Reddy,FALSE,Both are there in the politicians file. Different constit
Nilesh Narayan Rane,Dr. Nilesh Narayan Rane,FALSE,
Bhakta Charan Das,Shri Bhakta Charan Das,FALSE,
Shailendra Kumar,Shri Shailendra Kumar,FALSE,
Bhoopendra Singh,Shri Bhoopendra Singh,FALSE,
Nikhil Kumar Choudhary,Shri Nikhil Kumar Choudhary,FALSE,
Badruddin Ajmal,Maulana Badruddin Ajmal,FALSE,
Prasanna Kumar Patasani,Dr. (Prof.) Prasanna Kumar Patasani,FALSE,
Ananth Kumar,Shri  Ananth Kumar,FALSE,
L. K. Advani,Shri Lal Krishna Advani,FALSE
Sonia Gandhi,Smt. Sonia Gandhi,FALSE
V. Narayanasamy,Shri V. Narayanasamy,FALSE
Radha Mohan Singh,Shri Radha Mohan Singh,FALSE
Raj Lakshmi,Smt. Mala Rajya Laxmi Shah,FALSE
Sanjeev Ganesh Naik,Dr. Sanjeev Ganesh Naik,FALSE
Arjun Roy,Dr. Arjun Roy,FALSE
Praful Manoharbhai Patel,Shri Praful Manoharbhai Patel,FALSE
Hansraj Gangaram Ahir,Shri Hansraj Gangaram Ahir,FALSE
Rajiv Ranjan Singh Alias Lalan Singh,Shri Rajiv Ranjan (Lalan) Singh,FALSE
K. C. Singh Baba,Shri K.C. Singh Baba,FALSE
Rahul Gandhi,Shri Rahul Gandhi,FALSE
Shibu Soren,Shri Shibu Soren,FALSE
Dhananjay Singh,Shri Dhananjay Singh,FALSE
Baliram Sukur Jadhav,Shri Baliram Sukur Jadhav,FALSE
Naramalli Sivaprasad,Dr. Naramalli Sivaprasad,FALSE
Balkrishna Khanderao Shukla (Balu Shukla),Shri Balkrishna Khanderao Shukla,FALSE
Madhu Koda,Shri Madhu Kora,FALSE
Sukhdev Singh Libra,Shri Sukhdev Singh Libra,FALSE
Dip Gogoi,Shri Dip Gogoi,FALSE
Pradeep Kumar Singh,Shri Pradeep Kumar Singh,FALSE
Avtar Singh Bhadana,Shri Avtar Singh Bhadana,FALSE
Kavuri Sambasiva Rao,Dr. Kavuri Samba Siva Rao,FALSE
Mansukhbhai Vasava,Shri Mansukhbhai D. Vasava,FALSE
Gopal Singh,Shri Gopal Singh Shekhawat,FALSE
Gavit Manikrao Hodlya,Shri Manikrao Hodlya Gavit,FALSE
Farooq Abdullah,Dr. Farooq Abdullah,FALSE
Susmita Bauri,Smt. Susmita Bauri,FALSE
Francisco Sardinha,Shri Francisco Sardinha,FALSE
JK Rithesh,Shri K. alias J.K. Ritheesh Shivakumar,FALSE
P. Viswanathan,Shri Viswanathan Perumal,FALSE
Bijoy Krishna Handique,Shri Bijoy Krishna Handique,FALSE
Usha Verma,Smt. Usha Verma,FALSE,
P Chidambaram,Shri Palaniappan Chidambaram,FALSE,
Helen Davidson J,Smt. Davidson J. Helen,FALSE,
Dharam Singh,Shri N.Dharam Singh,FALSE,
Rajendra Agarwal,Shri Rajendra Agrawal,FALSE,
Vitthalbhai Hansrajbhai Radadiya,Shri Vitthalbhai Hansrajbhai Radadiya,FALSE,
Tathagata Satpathy,Shri Tathagata Satpathy,FALSE,
Aswamedh Devi,Smt. Ashwamedh Devi,FALSE,
Sisir Adhikari,Shri Sisir Kumar Adhikari,FALSE,
Sudip Bandyopadhyay,Shri Sudip Bandyopadhyay,FALSE,
Sheesh Ram Ola,Shri Sis Ram Ola,FALSE,
Rajesh Mishra,Rajesh Mishra,,
,Dr. Murli Manohar Joshi,FALSE,Will need to replace Rajesh Mishra with Murli Manohar Joshi. New row for Rajesh Mishra.
Hukmadeo Narayan Yadav,Shri Hukmdev Narayan Yadav,FALSE,
S. Gandhiselvan,Shri S. Gandhiselvan,FALSE,
Kunwar Rewati Raman Singh,Kunwar Rewati Raman Singh,FALSE,
Muhammed Hamdulla Sayeed,Shri Hamdullah Sayeed,FALSE
Ajay Kumar,Dr. (Shri) Ajay Kumar,FALSE
Kaushalendra Kumar,Shri Kaushalendra Kumar,FALSE
G.S. Basavaraj,Shri Gangasandra Siddappa Basavaraj,FALSE
Dharmendra Yadav,Shri Dharmendra Yadav,FALSE
Shatrughan Sinha,Shri Shatrughan Prasad Sinha,FALSE
P. Lingam,Shri P. Lingam,FALSE
Premdas,Shri Premdas Katheria,FALSE
Arun Subhashchandra Yadav,Shri Arun Subhashchandra Yadav,FALSE
Jaswant Singh,Shri Jaswant Singh,FALSE
Dinesh Kashyap,Shri Dinesh Kashyap,FALSE
Tapas Paul,Shri Tapas Paul,FALSE
Suresh Kumar Shetkar,Shri Suresh Kumar Shetkar,FALSE
Lalit Mohan Suklabaidya,Shri Lalit  Mohan Suklabaidya,FALSE
Darshana Vikram Jardosh,Smt. Darshana Vikram Jardosh,FALSE
Satpal Maharaj,Shri Satpal Maharaj,FALSE
Bhartruhari Mahtab,Shri Bhartruhari Mahtab,FALSE
R. Thamaraiselvan,Shri R. Thamaraiselvan,FALSE
Baliram,Dr.  Baliram,FALSE
Narendra Singh Tomar,Shri Narendra Singh Tomar,FALSE
K. D. Deshmukh,Shri K. D. Deshmukh,FALSE
Ramesh Bais,Shri Ramesh Bais,FALSE
Sharadchandra Govindrao Pawar,Shri Sharad Chandra Govindrao Pawar,FALSE
S. Alagiri,Shri Sambandam Keerapalayam Alagiri,FALSE
Raj Kumari Chauhan,Smt. Raj Kumari Chauhan,FALSE
Pradeep Kumar Majhi,Shri Pradeep Majhi,FALSE
Jaipal Reddy Sudini,Shri Jaipal  Sudini Reddy,FALSE
K. Sugumar,Shri K. Sugumar,FALSE
Sandeep Dikshit,Shri Sandeep Dikshit,FALSE
E. G. Sugavanam,Shri E.G. Sugavanam,FALSE
Karia Munda,Shri Kariya Munda,FALSE
Ajit Singh,Shri Ajit Singh,FALSE
Mamata Banerjee,Mamata Banerjee,,
,Shri Subrata Bakshi,FALSE,Ignore this. I will edit this.
Rajan Sushant,Dr. Rajan Sushant,FALSE,
Khagen Das,Shri Khagen Das,FALSE,
Monazir Hassan,Dr. Monazir Hassan,FALSE,
K. Jayaprakash Hegde,Shri Jayaprakash Korgi Hegde,FALSE,
Hassan Khan,Shri Hassan Khan,FALSE,
Jhansi Lakshmi Botcha,Dr. (Smt.) Jhansi Lakshmi Botcha,FALSE,
Uday Pratap Singh,Shri Uday Pratap Singh,FALSE,
Gorakh Nath Pandey,Shri Gorakh Nath Pandey,FALSE,
Uday Singh,Shri Uday Singh,FALSE,
Daggubati Purandeswari,Smt. Daggubati Purandeswari,FALSE,
Acharia Basudeb,Shri Basudeb Acharia,FALSE,
S. P. Y. Reddy,Shri S.P.Y. Reddy,FALSE,
Ijyaraj Singh,Shri Ijyaraj Singh,FALSE,
Nagar Ku. Ratanjeet Pratap Narayan Singh,Shri Ratanjit Pratap Narain Singh,FALSE,
Bhavana Pundlikrao Gawali (Patil),Ms. Bhavana Gawali (Patil),FALSE
Mallipudi Raju Pallam Mangapati,Dr. M. Mangapati Pallam Raju,FALSE
Abdul Rahman,Shri  Abdul Rahman,FALSE
Udayanraje Bhonsle,Shri Udayanraje  Pratapsingh Bhonsle,FALSE
Ravneet Singh,Shri Ravneet Singh,FALSE
Bhola Singh,Dr. Bhola Singh,FALSE
Kabir Suman,Shri Kabir Suman,FALSE
Kishore Chandra Suryanarayana Deo Vyricherla,Shri V. Kishore Chandra Deo,FALSE
Bhaskarrao Bapurao Khatgaonkar,Shri Bhaskarrao Bapurao Patil,FALSE
Rajaiah Siricilla,Shri Rajaiah Siricilla,FALSE
Gobinda Chandra Naskar,Shri Gobinda Chandra Naskar,FALSE
Chandresh Kumari,Smt. Chandresh Kumari Katoch,FALSE
Jose K. Mani (Karingozheckal),Shri Jose K. Mani,FALSE
Kuldeep Bishnoi,Shri Kuldeep Bishnoi,FALSE
Magunta Sreenivasulu Reddy,Shri Magunta Sreenivasulu Reddy,FALSE
P.T Thomas,Shri P. T. Thomas,FALSE
D. Venugopal,Thiru Danapal Venugopal,FALSE
Purnmasi Ram,Shri Purnmasi Ram,FALSE
Thol. Thirumavalavan,Shri Thirumaa Valavan Thol,FALSE
Manicka Tagore,Shri Manicka Tagore,FALSE
M. Anjan Kumar Yadav,Shri M. Anjan Kumar Yadav,FALSE
Kamlesh Paswan,Shri Kamlesh Paswan,FALSE
Sanjay Jaiswal,Dr. Sanjay Jaiswal,FALSE
Rajkumari Ratna Singh,Rajkumari Ratna Singh,FALSE
Adityanath,Shri Yogi Adityanath,FALSE
Ashok Tanwar,Shri Ashok Tanwar,FALSE
A. Ganeshamurthi,Shri A. Ganeshamurthi,FALSE
Radhey Mohan Singh,Shri Radhe Mohan Singh,FALSE
Dinesh Chandra Yadav,Shri Dinesh Chandra Yadav,FALSE
Harish Rawat,Shri Harish Rawat,FALSE
Lakshmi Panabaka,Smt. Lakshmi Panabaka,FALSE
C. Rajendran,Shri C. Rajendran,FALSE
A T Nana Patil,Shri A.T. (Nana) Patil,FALSE
Jai Narain Prasad Nishad,Capt.(Retd.) Jainarain Prasad Nishad,FALSE
Kirodi Lal,Dr. Kirodilal Meena,FALSE
Meena Singh,Smt. Meena Singh,FALSE
Mohinder Singh Kaypee,Shri Mohinder Singh Kaypee,FALSE
Manda Jagannath,Dr. M. Jagannath,FALSE
Ram Chandra Dome,Dr. Ram Chandra Dome,FALSE
K. P. Dhanapalan,Shri K. P. Dhanapalan,FALSE
S. Semmalai,Shri S. Semmalai,FALSE
Meira Kumar,Smt. Meira Kumar,FALSE
M. Anandan,Shri K. Murugesan Anandan,FALSE
P. Karunakaran,Shri P. Karunakaran,FALSE
Kalyan Singh R O Madholi,Shri Kalyan Singh,FALSE
Bijoya Chakravarty,Smt. Bijoya Chakravarty,FALSE
Pawan Kumar Bansal,Shri Pawan Kumar Bansal,FALSE
Mulayam Singh Yadav,Shri Mulayam Singh Yadav,FALSE
Yashbant Narayan Singh Laguri,Shri Yashbant Narayan Singh Laguri,FALSE
Rattan Singh Ajnala,Dr. Rattan Singh Ajnala,FALSE
A K S Vijayan,Shri A.K.S. Vijayan,FALSE
